,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,DeepLearning_1_AutoML_20190426_144511,23.53047563874382,4.850822161112879,23.53047563874382,3.575236052876378,
0,DeepLearning_1_AutoML_20190426_150852,21.545948823443556,4.641761392342733,21.545948823443556,3.3030876307584944,
1,DeepLearning_1_AutoML_20190426_144511,23.53047563874382,4.850822161112879,23.53047563874382,3.575236052876378,
2,DeepLearning_1_AutoML_20190426_153113,24.303002055872426,4.929807506979602,24.303002055872426,3.3846001378141004,
3,DeepLearning_grid_1_AutoML_20190426_150852_model_1,153.90051802618302,12.405664755513227,153.90051802618302,8.761169375767192,
4,DeepLearning_grid_1_AutoML_20190426_150852_model_3,862.4458966274249,29.36742917974648,862.4458966274249,18.75602785843508,
5,DeepLearning_grid_1_AutoML_20190426_150852_model_2,1237.018265533101,35.171270456625535,1237.018265533101,22.418270083990556,
6,DeepLearning_grid_1_AutoML_20190426_153113_model_1,2003.6430999184704,44.76207211377139,2003.6430999184704,22.478115852301013,
7,DeepLearning_grid_1_AutoML_20190426_153113_model_2,3429.0431162113177,58.558032038408854,3429.0431162113177,38.20980468419353,
8,DeepLearning_grid_1_AutoML_20190426_153113_model_3,8738.821161368365,93.48166216626856,8738.821161368365,75.92256016050283,1.3160528242394691
0,DeepLearning_1_AutoML_20190426_150852,21.545948823443556,4.641761392342733,21.545948823443556,3.3030876307584944,
1,DeepLearning_1_AutoML_20190426_144511,23.53047563874382,4.850822161112879,23.53047563874382,3.575236052876378,
2,DeepLearning_1_AutoML_20190426_153113,24.303002055872426,4.929807506979602,24.303002055872426,3.3846001378141004,
3,DeepLearning_1_AutoML_20190426_160027,40.01364443384757,6.325633915573014,40.01364443384757,3.9525837771575065,
4,DeepLearning_grid_1_AutoML_20190426_160027_model_2,149.4952537807909,12.226825171760284,149.4952537807909,9.048694277253512,
5,DeepLearning_grid_1_AutoML_20190426_150852_model_1,153.90051802618302,12.405664755513227,153.90051802618302,8.761169375767192,
6,DeepLearning_grid_1_AutoML_20190426_150852_model_3,862.4458966274249,29.36742917974648,862.4458966274249,18.75602785843508,
7,DeepLearning_grid_1_AutoML_20190426_160027_model_1,865.1598231467119,29.41359928921845,865.1598231467119,19.409615573634827,
8,DeepLearning_grid_1_AutoML_20190426_160027_model_3,1117.3979514697153,33.427502920046464,1117.3979514697153,26.474219862121462,
9,DeepLearning_grid_1_AutoML_20190426_150852_model_2,1237.018265533101,35.171270456625535,1237.018265533101,22.418270083990556,
10,DeepLearning_grid_1_AutoML_20190426_160027_model_4,1431.1203711592816,37.830151614278286,1431.1203711592816,24.877174295749573,
11,DeepLearning_grid_1_AutoML_20190426_153113_model_1,2003.6430999184704,44.76207211377139,2003.6430999184704,22.478115852301013,
12,DeepLearning_grid_1_AutoML_20190426_153113_model_2,3429.0431162113177,58.558032038408854,3429.0431162113177,38.20980468419353,
13,DeepLearning_grid_1_AutoML_20190426_153113_model_3,8738.821161368365,93.48166216626856,8738.821161368365,75.92256016050283,1.3160528242394691
0,DeepLearning_1_AutoML_20190426_163756,20.43142968133796,4.520113901367748,20.43142968133796,3.5004804136104473,
1,DeepLearning_1_AutoML_20190426_150852,21.545948823443556,4.641761392342733,21.545948823443556,3.3030876307584944,
2,DeepLearning_1_AutoML_20190426_144511,23.53047563874382,4.850822161112879,23.53047563874382,3.575236052876378,
3,DeepLearning_1_AutoML_20190426_153113,24.303002055872426,4.929807506979602,24.303002055872426,3.3846001378141004,
4,DeepLearning_1_AutoML_20190426_160027,40.01364443384757,6.325633915573014,40.01364443384757,3.9525837771575065,
5,DeepLearning_grid_1_AutoML_20190426_160027_model_2,149.4952537807909,12.226825171760284,149.4952537807909,9.048694277253512,
6,DeepLearning_grid_1_AutoML_20190426_150852_model_1,153.90051802618302,12.405664755513227,153.90051802618302,8.761169375767192,
7,DeepLearning_grid_1_AutoML_20190426_163756_model_3,373.2046239986328,19.318504704004212,373.2046239986328,12.590487672450669,
8,DeepLearning_grid_1_AutoML_20190426_150852_model_3,862.4458966274249,29.36742917974648,862.4458966274249,18.75602785843508,
9,DeepLearning_grid_1_AutoML_20190426_160027_model_1,865.1598231467119,29.41359928921845,865.1598231467119,19.409615573634827,
10,DeepLearning_grid_1_AutoML_20190426_163756_model_2,891.7136604771998,29.86157498319873,891.7136604771998,22.636302670308446,
11,DeepLearning_grid_1_AutoML_20190426_163756_model_1,983.5169623086628,31.36107399801006,983.5169623086628,23.035257178909827,
12,DeepLearning_grid_1_AutoML_20190426_160027_model_3,1117.3979514697153,33.427502920046464,1117.3979514697153,26.474219862121462,
13,DeepLearning_grid_1_AutoML_20190426_150852_model_2,1237.018265533101,35.171270456625535,1237.018265533101,22.418270083990556,
14,DeepLearning_grid_1_AutoML_20190426_160027_model_4,1431.1203711592816,37.830151614278286,1431.1203711592816,24.877174295749573,
15,DeepLearning_grid_1_AutoML_20190426_153113_model_1,2003.6430999184704,44.76207211377139,2003.6430999184704,22.478115852301013,
16,DeepLearning_grid_1_AutoML_20190426_153113_model_2,3429.0431162113177,58.558032038408854,3429.0431162113177,38.20980468419353,
17,DeepLearning_grid_1_AutoML_20190426_163756_model_4,4557.763458797189,67.51120987508067,4557.763458797189,50.649757889422744,
18,DeepLearning_grid_1_AutoML_20190426_153113_model_3,8738.821161368365,93.48166216626856,8738.821161368365,75.92256016050283,1.3160528242394691
