,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,GLM_grid_1_AutoML_20190426_123514_model_1,32870.98312,181.3035662,32870.98312,142.3341666,1.569852935
1,GLM_grid_1_AutoML_20190426_123514_model_1,32870.98312,181.3035662,32870.98312,142.3341666,1.569852935
2,GLM_grid_1_AutoML_20190426_144511_model_1,38.38704879,6.19572827,38.38704879,4.451968585,
3,GLM_grid_1_AutoML_20190426_144511_model_1,38.38704879,6.19572827,38.38704879,4.451968585,
4,GLM_grid_1_AutoML_20190426_150852_model_1,38.38704879,6.19572827,38.38704879,4.451968585,
5,GLM_grid_1_AutoML_20190426_123514_model_1,32870.98312,181.3035662,32870.98312,142.3341666,1.569852935
1,GLM_grid_1_AutoML_20190426_153113_model_1,38.38704879,6.19572827,38.38704879,4.451968585,
2,GLM_grid_1_AutoML_20190426_144511_model_1,38.38704879,6.19572827,38.38704879,4.451968585,
3,GLM_grid_1_AutoML_20190426_150852_model_1,38.38704879,6.19572827,38.38704879,4.451968585,
4,GLM_grid_1_AutoML_20190426_123514_model_1,32870.98312,181.3035662,32870.98312,142.3341666,1.569852935
0,GLM_grid_1_AutoML_20190426_163756_model_1,38.38704879,6.19572827,38.38704879,4.451968585,
1,GLM_grid_1_AutoML_20190426_160027_model_1,38.38704879,6.19572827,38.38704879,4.451968585,
2,GLM_grid_1_AutoML_20190426_153113_model_1,38.38704879,6.19572827,38.38704879,4.451968585,
3,GLM_grid_1_AutoML_20190426_144511_model_1,38.38704879,6.19572827,38.38704879,4.451968585,
4,GLM_grid_1_AutoML_20190426_150852_model_1,38.38704879,6.19572827,38.38704879,4.451968585,
5,GLM_grid_1_AutoML_20190426_123514_model_1,32870.98312,181.3035662,32870.98312,142.3341666,1.569852935
6,GLM_grid_1_AutoML_20190426_160027_model_1,38.38704879,6.19572827,38.38704879,4.451968585,
