,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,XGBoost_1_AutoML_20190426_123514,17.92749332,4.234087071,17.92749332,2.489230076,0.051760964
1,XGBoost_2_AutoML_20190426_123514,30.27328955,5.502116825,30.27328955,3.109063333,0.060219973
2,XGBoost_3_AutoML_20190426_123514,33.46107029,5.784554459,33.46107029,3.824091412,0.10971549
3,XGBoost_3_AutoML_20190426_144511,21.35671646,4.621332759,21.35671646,3.045134719,
4,XGBoost_2_AutoML_20190426_144511,24.26523318,4.925975353,24.26523318,2.896450483,0.063765899
5,XGBoost_2_AutoML_20190426_123514,30.27328955,5.502116825,30.27328955,3.109063333,0.060219973
6,XGBoost_1_AutoML_20190426_144511,32.63514081,5.712717463,32.63514081,3.691980302,
7,XGBoost_3_AutoML_20190426_123514,33.46107029,5.784554459,33.46107029,3.824091412,0.10971549
8,XGBoost_grid_1_AutoML_20190426_144511_model_1,2932.93118,54.15654328,2932.93118,35.08327851,0.205678658
9,XGBoost_grid_1_AutoML_20190426_144511_model_2,65273.17389,255.4861521,65273.17389,183.7381262,3.5013338
10,XGBoost_1_AutoML_20190426_123514,17.92749332,4.234087071,17.92749332,2.489230076,0.051760964
11,XGBoost_3_AutoML_20190426_153113,14.98423092,3.870947031,14.98423092,2.512776704,0.074572196
12,XGBoost_1_AutoML_20190426_123514,17.92749332,4.234087071,17.92749332,2.489230076,0.051760964
13,XGBoost_1_AutoML_20190426_153113,19.30099177,4.393289402,19.30099177,2.743746648,0.062364769
14,XGBoost_3_AutoML_20190426_144511,21.35671646,4.621332759,21.35671646,3.045134719,
15,XGBoost_3_AutoML_20190426_150852,23.04277109,4.800288647,23.04277109,3.126566616,0.091905955
16,XGBoost_2_AutoML_20190426_144511,24.26523318,4.925975353,24.26523318,2.896450483,0.063765899
17,XGBoost_2_AutoML_20190426_153113,27.45302545,5.239563479,27.45302545,3.07132735,
18,XGBoost_1_AutoML_20190426_150852,27.89837554,5.281891285,27.89837554,3.257609866,0.081038793
19,XGBoost_2_AutoML_20190426_150852,28.34235786,5.323754113,28.34235786,3.19995974,0.071492226
20,XGBoost_2_AutoML_20190426_123514,30.27328955,5.502116825,30.27328955,3.109063333,0.060219973
21,XGBoost_1_AutoML_20190426_144511,32.63514081,5.712717463,32.63514081,3.691980302,
22,XGBoost_3_AutoML_20190426_123514,33.46107029,5.784554459,33.46107029,3.824091412,0.10971549
23,XGBoost_grid_1_AutoML_20190426_153113_model_1,43.4894278,6.594651454,43.4894278,2.644902914,0.024588424
24,XGBoost_grid_1_AutoML_20190426_150852_model_2,526.0191313,22.93510696,526.0191313,14.36831645,0.139759736
25,XGBoost_grid_1_AutoML_20190426_144511_model_1,2932.93118,54.15654328,2932.93118,35.08327851,0.205678658
26,XGBoost_grid_1_AutoML_20190426_153113_model_2,7963.40064,89.23788792,7963.40064,63.41372198,0.393711085
28,XGBoost_grid_1_AutoML_20190426_144511_model_2,65273.17389,255.4861521,65273.17389,183.7381262,3.5013338
29,XGBoost_grid_1_AutoML_20190426_150852_model_1,9.482721823,3.079402835,9.482721823,1.512234859,0.022579685
1,XGBoost_3_AutoML_20190426_153113,14.98423092,3.870947031,14.98423092,2.512776704,0.074572196
2,XGBoost_1_AutoML_20190426_123514,17.92749332,4.234087071,17.92749332,2.489230076,0.051760964
3,XGBoost_1_AutoML_20190426_153113,19.30099177,4.393289402,19.30099177,2.743746648,0.062364769
4,XGBoost_3_AutoML_20190426_144511,21.35671646,4.621332759,21.35671646,3.045134719,
5,XGBoost_3_AutoML_20190426_160027,22.52137743,4.745669334,22.52137743,3.077364175,0.08849462
6,XGBoost_3_AutoML_20190426_150852,23.04277109,4.800288647,23.04277109,3.126566616,0.091905955
7,XGBoost_1_AutoML_20190426_160027,24.197029,4.91904757,24.197029,2.964806067,0.067977157
8,XGBoost_2_AutoML_20190426_144511,24.26523318,4.925975353,24.26523318,2.896450483,0.063765899
9,XGBoost_2_AutoML_20190426_153113,27.45302545,5.239563479,27.45302545,3.07132735,
10,XGBoost_1_AutoML_20190426_150852,27.89837554,5.281891285,27.89837554,3.257609866,0.081038793
11,XGBoost_2_AutoML_20190426_150852,28.34235786,5.323754113,28.34235786,3.19995974,0.071492226
12,XGBoost_2_AutoML_20190426_123514,30.27328955,5.502116825,30.27328955,3.109063333,0.060219973
13,XGBoost_2_AutoML_20190426_160027,30.88751011,5.557653291,30.88751011,3.202373648,
14,XGBoost_1_AutoML_20190426_144511,32.63514081,5.712717463,32.63514081,3.691980302,
15,XGBoost_3_AutoML_20190426_123514,33.46107029,5.784554459,33.46107029,3.824091412,0.10971549
16,XGBoost_grid_1_AutoML_20190426_153113_model_1,43.4894278,6.594651454,43.4894278,2.644902914,0.024588424
17,XGBoost_grid_1_AutoML_20190426_160027_model_1,48.791704,6.985105869,48.791704,4.094382281,0.079277568
18,XGBoost_grid_1_AutoML_20190426_160027_model_2,495.7929997,22.26640967,495.7929997,14.13976153,
19,XGBoost_grid_1_AutoML_20190426_150852_model_2,526.0191313,22.93510696,526.0191313,14.36831645,0.139759736
20,XGBoost_grid_1_AutoML_20190426_144511_model_1,2932.93118,54.15654328,2932.93118,35.08327851,0.205678658
21,XGBoost_grid_1_AutoML_20190426_153113_model_2,7963.40064,89.23788792,7963.40064,63.41372198,0.393711085
22,XGBoost_grid_1_AutoML_20190426_160027_model_3,50991.95457,225.8139822,50991.95457,162.2994069,2.043253278
23,XGBoost_grid_1_AutoML_20190426_144511_model_2,65273.17389,255.4861521,65273.17389,183.7381262,3.5013338
