,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance
0,,2019-04-19 01:42:53, 2 min 15.179 sec,0.0,181.38238043116908,142.3998489274107,32899.56793087735
1,,2019-04-19 01:42:53, 2 min 15.271 sec,5.0,107.33853500559131,84.21541991744988,11521.561097146552
2,,2019-04-19 01:42:53, 2 min 15.354 sec,10.0,63.495903618670226,49.78679967224272,4031.729776351459
3,,2019-04-19 01:42:53, 2 min 15.445 sec,15.0,37.5829885206667,29.444243204951032,1412.4810261445652
4,,2019-04-19 01:42:53, 2 min 15.528 sec,20.0,22.29186840895816,17.436587467519562,496.9273971623067
5,,2019-04-19 01:42:53, 2 min 15.613 sec,25.0,13.238647464080218,10.338255655958282,175.2617866781976
6,,2019-04-19 01:42:53, 2 min 15.698 sec,30.0,7.920994952747033,6.160831756850808,62.74216104144397
7,,2019-04-19 01:42:54, 2 min 15.783 sec,35.0,4.783197493218638,3.706628447304977,22.87897825913306
8,,2019-04-19 01:42:54, 2 min 15.863 sec,40.0,2.979364135832929,2.2949197750397756,8.876610653887495
9,,2019-04-19 01:42:54, 2 min 15.941 sec,45.0,1.9690012460469655,1.5005843701245452,3.8769659069345024
10,,2019-04-19 01:42:54, 2 min 16.019 sec,50.0,1.4244534440836332,1.064509896011359,2.0290676143617246
11,,2019-04-19 01:42:54, 2 min 16.064 sec,53.0,1.2403267849754431,0.911197722421169,1.5384105335275193
